date,sector,sector_rank,sector_avg_momentum,code,name,signal_price,momentum,is_uptrend,ma20,ma60,volume_ratio,foreign_5d_net_buy_mil,passed_all_filters,selected,bb_pct,atr,avg_tr_pbmn_mil
2026-05-21,온디바이스 AI,2,53.83,403870,HPSP,50700,8.8,False,52650.0,47219.0,0.55,,False,False,0.307,4318.0,156177.9
2026-05-21,반도체 재료/부품,3,48.69,031330,에스에이엠티,14400,112.08,True,9893.0,6928.0,1.72,0,True,True,0.818,1716.0,24844.2
2026-05-21,반도체 재료/부품,3,48.69,052900,KX하이텍,2010,64.75,True,1427.0,1264.0,1.36,,False,False,1.103,208.0,8924.0
2026-05-21,반도체 재료/부품,3,48.69,144960,뉴파워프라즈마,9800,49.85,True,8298.0,6527.0,1.3,0,True,False,0.711,918.0,16534.7
2026-05-21,반도체 재료/부품,3,48.69,067310,하나마이크론,52100,36.93,True,43548.0,36371.0,0.86,,False,False,1.011,4459.0,131922.0
2026-05-21,반도체 재료/부품,3,48.69,092220,KEC,5660,-20.17,False,8826.0,7781.0,1.25,,False,False,-0.296,296.0,39676.3
2026-05-21,로봇(산업용/협동로봇 등),4,42.03,066430,아이로보틱스,3775,91.04,True,2588.0,2324.0,2.3,,False,False,0.894,570.0,32853.9
2026-05-21,로봇(산업용/협동로봇 등),4,42.03,048770,TPC로보틱스,5660,59.21,True,5015.0,3783.0,1.01,0,True,True,0.596,1168.0,11604.3
2026-05-21,로봇(산업용/협동로봇 등),4,42.03,264850,이랜시스,7160,16.61,True,7034.0,6590.0,1.83,0,True,False,0.537,975.0,44807.2
2026-05-21,로봇(산업용/협동로봇 등),4,42.03,090710,휴림로봇,11380,1.25,False,12348.0,12389.0,0.33,,False,False,0.169,1231.0,197737.5
2026-05-21,소캠(SOCAMM),5,40.52,222800,심텍,118300,48.99,True,99210.0,72183.0,1.13,,False,False,0.905,10807.0,78534.2
2026-05-21,소캠(SOCAMM),5,40.52,000660,SK하이닉스,1812000,48.04,True,1592550.0,1185600.0,1.05,0,True,False,0.699,135357.0,8584053.2
2026-05-21,소캠(SOCAMM),5,40.52,353200,대덕전자,141600,41.18,True,123585.0,92418.0,0.7,,False,False,0.824,13957.0,118574.7
2026-05-21,소캠(SOCAMM),5,40.52,005930,삼성전자,290000,32.42,True,256525.0,215792.0,1.16,0,True,False,0.791,20250.0,7939145.9
2026-05-21,소캠(SOCAMM),5,40.52,033160,엠케이전자,35300,31.96,True,28585.0,20314.0,0.84,,False,False,1.28,3479.0,29483.5
2026-05-22,고체산화물 연료전지(SOFC),1,40.62,336260,두산퓨얼셀,96000,98.96,True,75190.0,51810.0,0.34,,False,False,0.809,11271.0,103544.5
2026-05-22,고체산화물 연료전지(SOFC),1,40.62,452280,한선엔지니어링,35300,88.77,True,23650.0,16992.0,0.47,,False,False,1.002,3759.0,26503.0
2026-05-22,고체산화물 연료전지(SOFC),1,40.62,417200,LS머트리얼즈,23800,-5.37,False,25558.0,21904.0,0.53,,False,False,0.366,2201.0,128682.6
2026-05-22,고체산화물 연료전지(SOFC),1,40.62,475150,SK이터닉스,44150,-19.87,False,50475.0,48203.0,0.32,,False,False,0.202,3889.0,55510.2
2026-05-22,양자암호/양자컴퓨팅,2,21.59,123010,알엔티엑스,2980,89.21,True,1992.0,1472.0,1.28,,False,False,1.03,359.0,5200.0
2026-05-22,양자암호/양자컴퓨팅,2,21.59,050890,쏠리드,18030,8.16,True,16804.0,14417.0,0.49,,False,False,0.747,1778.0,133396.2
2026-05-22,양자암호/양자컴퓨팅,2,21.59,046970,우리로,10900,8.03,True,8864.0,6733.0,0.94,,False,False,1.208,1299.0,51652.7
